X,Y,Label,b1_da_nang,b2_da_nang,b3_da_nang,b4_da_nang,b5_da_nang,b6_da_nang,b7_da_nang
833652.9,1771635,aquaculture,0.029061,0.034039,0.057318,0.037641,0.062927,0.03243,0.020151
843592.8,1778563,aquaculture,0.009303,0.02231,0.054361,0.034946,0.089149,0.06092,0.043733
845707.8,1770480,aquaculture,0.035428,0.041656,0.069101,0.057304,0.109884,0.08369,0.048903
838376.4,1778797,aquaculture,0.02583,0.033846,0.055819,0.039016,0.086921,0.053619,0.036651
840398.6,1793644,aquaculture,0.03287,0.040543,0.065513,0.052478,0.136793,0.112427,0.072608
839464.9,1770866,aquaculture,0.04134,0.052753,0.091665,0.07522,0.09832,0.05278,0.03056
835053.7,1781773,aquaculture,0.033984,0.03969,0.065141,0.047142,0.171374,0.090978,0.051377
830921.1,1783397,aquaculture,0.024153,0.033186,0.066049,0.053192,0.123881,0.086413,0.052409
845564.9,1778799,aquaculture,0.031234,0.050112,0.082562,0.068579,0.08853,0.065815,0.048903
845947.6,1776297,aquaculture,0.024675,0.03639,0.066172,0.04618,0.066392,0.037297,0.024015
835538.9,1772593,aquaculture,0.024813,0.03232,0.059325,0.048572,0.08743,0.06059,0.03947
838645.5,1770873,aquaculture,0.034644,0.044241,0.085601,0.059435,0.115961,0.050827,0.028663
845201.3,1776603,aquaculture,0.014032,0.02671,0.056328,0.047308,0.080445,0.060425,0.036198
845934.4,1772716,aquaculture,0.016893,0.028278,0.05927,0.045713,0.067396,0.039113,0.023891
830673.3,1783346,aquaculture,0.0255,0.037957,0.074395,0.066475,0.107313,0.077008,0.050745
830737.8,1784193,aquaculture,0.019973,0.030697,0.062157,0.046867,0.101455,0.059696,0.033599
845671.6,1777233,aquaculture,0.034946,0.049714,0.081628,0.082521,0.090455,0.096079,0.080156
843202.9,1772365,aquaculture,0.031082,0.041615,0.077915,0.057702,0.126755,0.065238,0.036527
843910.5,1770543,aquaculture,0.023658,0.028827,0.046675,0.033668,0.102582,0.05212,0.032842
845696.6,1777324,aquaculture,0.037669,0.050553,0.087801,0.077049,0.06499,0.068455,0.053619
834418.3,1783599,aquaculture,0.052326,0.057139,0.074739,0.064536,0.062776,0.042743,0.031
830785.3,1784076,aquaculture,0.019216,0.029061,0.059518,0.039828,0.072553,0.046469,0.02605
843156.8,1767357,aquaculture,0.036968,0.047665,0.08435,0.05872,0.104233,0.067437,0.037297
845090.8,1769393,aquaculture,0.035263,0.043623,0.067919,0.050002,0.089025,0.050649,0.027645
832076.8,1784724,aquaculture,0.045135,0.05608,0.093012,0.099613,0.143778,0.129147,0.088282
852790.4,1785872,aquaculture,0.03034,0.037792,0.056493,0.04585,0.086743,0.07093,0.052643
840150.1,1793663,aquaculture,0.034644,0.043966,0.067712,0.050209,0.103916,0.079262,0.051323
854659.6,1787711,aquaculture,0.028993,0.03837,0.058472,0.054293,0.08567,0.081022,0.05718
845382.1,1777104,aquaculture,0.015284,0.027136,0.061566,0.057565,0.124775,0.067465,0.04486
840290.1,1793667,aquaculture,0.034877,0.04211,0.063945,0.049315,0.117708,0.088447,0.055558
830508.7,1784110,aquaculture,0.02022,0.029845,0.06675,0.06004,0.115398,0.08589,0.047857
845105.3,1766658,aquaculture,0.03628,0.043182,0.065732,0.049232,0.068785,0.045685,0.027425
831819.2,1771366,aquaculture,0.030423,0.035263,0.059119,0.035964,0.090235,0.042028,0.021952
850054.9,1767744,aquaculture,0.016837,0.022283,0.03837,0.030642,0.037765,0.030395,0.020633
834226.1,1769291,aquaculture,0.024799,0.032512,0.065059,0.045891,0.082975,0.037146,0.020756
845434.8,1770940,aquaculture,0.039855,0.046812,0.070724,0.056424,0.066833,0.057221,0.036803
